id	Site	Stage	Index	NonIndex	NonCancer	IndexPercent	NonIndexPercent	NonCancerPercent
AAPI	All Types	I-II	11646.389432124433	3709.7715277581547	20669.83904011741	32.32773394804983	10.297483838777978	57.37478221317218
AIAN	All Types	I-II	844.0550475580386	368.0033491346946	1553.9416033072666	30.515366867608048	13.304531783611518	56.180101348780425
Black	All Types	I-II	16715.49412016767	6445.110805617536	35521.39507421479	28.48487461260296	10.983113741211165	60.53201164618588
Hispanic	All Types	I-II	15183.658065159536	5588.196380893093	30639.14555394737	29.53387031016618	10.869651204787095	59.596478485046724
White	All Types	I-II	113251.23100857396	52663.34522486537	275048.4237665607	25.682706033969733	11.942803642225169	62.3744903238051
